,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
48,0.59,0.42,0.75,0.762,1.078,0.922,1.09,0.92,1.43,1.41,0.589,0.59,0.5,0.5,0.26,0.75,0.42,0.42,0.76,0.25,1.58,3.08,3.099,3.112
49,0.42,0.75,0.762,1.078,0.922,1.09,0.92,1.43,1.41,0.589,0.59,0.5,0.5,0.26,0.75,0.42,0.42,0.76,0.25,1.58,3.08,3.099,3.112,3.099
50,0.75,0.762,1.078,0.922,1.09,0.92,1.43,1.41,0.589,0.59,0.5,0.5,0.26,0.75,0.42,0.42,0.76,0.25,1.58,3.08,3.099,3.112,3.099,4.2899
51,0.762,1.078,0.922,1.09,0.92,1.43,1.41,0.589,0.59,0.5,0.5,0.26,0.75,0.42,0.42,0.76,0.25,1.58,3.08,3.099,3.112,3.099,4.2899,2.9191
52,1.078,0.922,1.09,0.92,1.43,1.41,0.589,0.59,0.5,0.5,0.26,0.75,0.42,0.42,0.76,0.25,1.58,3.08,3.099,3.112,3.099,4.2899,2.9191,2.954
53,0.922,1.09,0.92,1.43,1.41,0.589,0.59,0.5,0.5,0.26,0.75,0.42,0.42,0.76,0.25,1.58,3.08,3.099,3.112,3.099,4.2899,2.9191,2.954,4.2769
54,1.09,0.92,1.43,1.41,0.589,0.59,0.5,0.5,0.26,0.75,0.42,0.42,0.76,0.25,1.58,3.08,3.099,3.112,3.099,4.2899,2.9191,2.954,4.2769,4.6011
55,2.9301,3.7299,3.26,2.26,2.43,3.079,2.26,2.26,1.092,0.43,0.759,0.42,0.42,0.43,0.59,0.59,0.259,0.26,0.762,0.8499,2.1691,1.59,1.24,2.27
56,3.7299,3.26,2.26,2.43,3.079,2.26,2.26,1.092,0.43,0.759,0.42,0.42,0.43,0.59,0.59,0.259,0.26,0.762,0.8499,2.1691,1.59,1.24,2.27,2.09
57,3.26,2.26,2.43,3.079,2.26,2.26,1.092,0.43,0.759,0.42,0.42,0.43,0.59,0.59,0.259,0.26,0.762,0.8499,2.1691,1.59,1.24,2.27,2.09,2.24
58,2.26,2.43,3.079,2.26,2.26,1.092,0.43,0.759,0.42,0.42,0.43,0.59,0.59,0.259,0.26,0.762,0.8499,2.1691,1.59,1.24,2.27,2.09,2.24,1.789
59,2.43,3.079,2.26,2.26,1.092,0.43,0.759,0.42,0.42,0.43,0.59,0.59,0.259,0.26,0.762,0.8499,2.1691,1.59,1.24,2.27,2.09,2.24,1.789,2.4509
60,3.079,2.26,2.26,1.092,0.43,0.759,0.42,0.42,0.43,0.59,0.59,0.259,0.26,0.762,0.8499,2.1691,1.59,1.24,2.27,2.09,2.24,1.789,2.4509,2.4501
61,2.26,2.26,1.092,0.43,0.759,0.42,0.42,0.43,0.59,0.59,0.259,0.26,0.762,0.8499,2.1691,1.59,1.24,2.27,2.09,2.24,1.789,2.4509,2.4501,1.791
62,2.26,1.092,0.43,0.759,0.42,0.42,0.43,0.59,0.59,0.259,0.26,0.762,0.8499,2.1691,1.59,1.24,2.27,2.09,2.24,1.789,2.4509,2.4501,1.791,2.939
63,1.092,0.43,0.759,0.42,0.42,0.43,0.59,0.59,0.259,0.26,0.762,0.8499,2.1691,1.59,1.24,2.27,2.09,2.24,1.789,2.4509,2.4501,1.791,2.939,1.439
64,0.43,0.759,0.42,0.42,0.43,0.59,0.59,0.259,0.26,0.762,0.8499,2.1691,1.59,1.24,2.27,2.09,2.24,1.789,2.4509,2.4501,1.791,2.939,1.439,1.452
65,0.759,0.42,0.42,0.43,0.59,0.59,0.259,0.26,0.762,0.8499,2.1691,1.59,1.24,2.27,2.09,2.24,1.789,2.4509,2.4501,1.791,2.939,1.439,1.452,1.15
66,0.42,0.42,0.43,0.59,0.59,0.259,0.26,0.762,0.8499,2.1691,1.59,1.24,2.27,2.09,2.24,1.789,2.4509,2.4501,1.791,2.939,1.439,1.452,1.15,0.8081
67,0.42,0.43,0.59,0.59,0.259,0.26,0.762,0.8499,2.1691,1.59,1.24,2.27,2.09,2.24,1.789,2.4509,2.4501,1.791,2.939,1.439,1.452,1.15,0.8081,0.9109
68,0.43,0.59,0.59,0.259,0.26,0.762,0.8499,2.1691,1.59,1.24,2.27,2.09,2.24,1.789,2.4509,2.4501,1.791,2.939,1.439,1.452,1.15,0.8081,0.9109,0.57
69,0.59,0.59,0.259,0.26,0.762,0.8499,2.1691,1.59,1.24,2.27,2.09,2.24,1.789,2.4509,2.4501,1.791,2.939,1.439,1.452,1.15,0.8081,0.9109,0.57,1.57
70,0.59,0.259,0.26,0.762,0.8499,2.1691,1.59,1.24,2.27,2.09,2.24,1.789,2.4509,2.4501,1.791,2.939,1.439,1.452,1.15,0.8081,0.9109,0.57,1.57,0.241
71,0.259,0.26,0.762,0.8499,2.1691,1.59,1.24,2.27,2.09,2.24,1.789,2.4509,2.4501,1.791,2.939,1.439,1.452,1.15,0.8081,0.9109,0.57,1.57,0.241,0.74
72,0.26,0.762,0.8499,2.1691,1.59,1.24,2.27,2.09,2.24,1.789,2.4509,2.4501,1.791,2.939,1.439,1.452,1.15,0.8081,0.9109,0.57,1.57,0.241,0.74,1.228
73,0.762,0.8499,2.1691,1.59,1.24,2.27,2.09,2.24,1.789,2.4509,2.4501,1.791,2.939,1.439,1.452,1.15,0.8081,0.9109,0.57,1.57,0.241,0.74,1.228,0.7401
74,0.8499,2.1691,1.59,1.24,2.27,2.09,2.24,1.789,2.4509,2.4501,1.791,2.939,1.439,1.452,1.15,0.8081,0.9109,0.57,1.57,0.241,0.74,1.228,0.7401,1.0709
75,2.1691,1.59,1.24,2.27,2.09,2.24,1.789,2.4509,2.4501,1.791,2.939,1.439,1.452,1.15,0.8081,0.9109,0.57,1.57,0.241,0.74,1.228,0.7401,1.0709,0.4
76,1.59,1.24,2.27,2.09,2.24,1.789,2.4509,2.4501,1.791,2.939,1.439,1.452,1.15,0.8081,0.9109,0.57,1.57,0.241,0.74,1.228,0.7401,1.0709,0.4,1.571
77,1.57,0.401,1.5799,1.2281,1.4001,1.5709,0.91,1.4,0.901,0.9079,0.7301,0.9109,1.3901,0.7499,1.1511,0.32,1.3891,0.9199,1.9,4.07,3.0101,3.6988,4.6921,4.0191
78,0.401,1.5799,1.2281,1.4001,1.5709,0.91,1.4,0.901,0.9079,0.7301,0.9109,1.3901,0.7499,1.1511,0.32,1.3891,0.9199,1.9,4.07,3.0101,3.6988,4.6921,4.0191,3.0199
79,1.5799,1.2281,1.4001,1.5709,0.91,1.4,0.901,0.9079,0.7301,0.9109,1.3901,0.7499,1.1511,0.32,1.3891,0.9199,1.9,4.07,3.0101,3.6988,4.6921,4.0191,3.0199,3.1889
80,1.2281,1.4001,1.5709,0.91,1.4,0.901,0.9079,0.7301,0.9109,1.3901,0.7499,1.1511,0.32,1.3891,0.9199,1.9,4.07,3.0101,3.6988,4.6921,4.0191,3.0199,3.1889,3.3521
81,1.4001,1.5709,0.91,1.4,0.901,0.9079,0.7301,0.9109,1.3901,0.7499,1.1511,0.32,1.3891,0.9199,1.9,4.07,3.0101,3.6988,4.6921,4.0191,3.0199,3.1889,3.3521,3.4001
82,1.5709,0.91,1.4,0.901,0.9079,0.7301,0.9109,1.3901,0.7499,1.1511,0.32,1.3891,0.9199,1.9,4.07,3.0101,3.6988,4.6921,4.0191,3.0199,3.1889,3.3521,3.4001,3.2789
83,0.91,1.4,0.901,0.9079,0.7301,0.9109,1.3901,0.7499,1.1511,0.32,1.3891,0.9199,1.9,4.07,3.0101,3.6988,4.6921,4.0191,3.0199,3.1889,3.3521,3.4001,3.2789,2.77
84,1.4,0.901,0.9079,0.7301,0.9109,1.3901,0.7499,1.1511,0.32,1.3891,0.9199,1.9,4.07,3.0101,3.6988,4.6921,4.0191,3.0199,3.1889,3.3521,3.4001,3.2789,2.77,2.291
85,0.901,0.9079,0.7301,0.9109,1.3901,0.7499,1.1511,0.32,1.3891,0.9199,1.9,4.07,3.0101,3.6988,4.6921,4.0191,3.0199,3.1889,3.3521,3.4001,3.2789,2.77,2.291,0.439
86,0.9079,0.7301,0.9109,1.3901,0.7499,1.1511,0.32,1.3891,0.9199,1.9,4.07,3.0101,3.6988,4.6921,4.0191,3.0199,3.1889,3.3521,3.4001,3.2789,2.77,2.291,0.439,1.7699
87,0.7301,0.9109,1.3901,0.7499,1.1511,0.32,1.3891,0.9199,1.9,4.07,3.0101,3.6988,4.6921,4.0191,3.0199,3.1889,3.3521,3.4001,3.2789,2.77,2.291,0.439,1.7699,0.6091
88,0.9109,1.3901,0.7499,1.1511,0.32,1.3891,0.9199,1.9,4.07,3.0101,3.6988,4.6921,4.0191,3.0199,3.1889,3.3521,3.4001,3.2789,2.77,2.291,0.439,1.7699,0.6091,0.6121
89,1.3901,0.7499,1.1511,0.32,1.3891,0.9199,1.9,4.07,3.0101,3.6988,4.6921,4.0191,3.0199,3.1889,3.3521,3.4001,3.2789,2.77,2.291,0.439,1.7699,0.6091,0.6121,1.4489
90,0.7499,1.1511,0.32,1.3891,0.9199,1.9,4.07,3.0101,3.6988,4.6921,4.0191,3.0199,3.1889,3.3521,3.4001,3.2789,2.77,2.291,0.439,1.7699,0.6091,0.6121,1.4489,0.7689
91,1.1511,0.32,1.3891,0.9199,1.9,4.07,3.0101,3.6988,4.6921,4.0191,3.0199,3.1889,3.3521,3.4001,3.2789,2.77,2.291,0.439,1.7699,0.6091,0.6121,1.4489,0.7689,1.4521
92,0.32,1.3891,0.9199,1.9,4.07,3.0101,3.6988,4.6921,4.0191,3.0199,3.1889,3.3521,3.4001,3.2789,2.77,2.291,0.439,1.7699,0.6091,0.6121,1.4489,0.7689,1.4521,0.359
93,1.3891,0.9199,1.9,4.07,3.0101,3.6988,4.6921,4.0191,3.0199,3.1889,3.3521,3.4001,3.2789,2.77,2.291,0.439,1.7699,0.6091,0.6121,1.4489,0.7689,1.4521,0.359,1.1801
94,0.9199,1.9,4.07,3.0101,3.6988,4.6921,4.0191,3.0199,3.1889,3.3521,3.4001,3.2789,2.77,2.291,0.439,1.7699,0.6091,0.6121,1.4489,0.7689,1.4521,0.359,1.1801,0.7809
95,1.9,4.07,3.0101,3.6988,4.6921,4.0191,3.0199,3.1889,3.3521,3.4001,3.2789,2.77,2.291,0.439,1.7699,0.6091,0.6121,1.4489,0.7689,1.4521,0.359,1.1801,0.7809,0.9489
96,4.07,3.0101,3.6988,4.6921,4.0191,3.0199,3.1889,3.3521,3.4001,3.2789,2.77,2.291,0.439,1.7699,0.6091,0.6121,1.4489,0.7689,1.4521,0.359,1.1801,0.7809,0.9489,2.2701
